City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
520,Bartica,100,GY,1667533153,99,6.4,-58.6167,75.52,1.7
521,Ardakān,7,IR,1667533154,60,32.31,54.0175,58.6,4.03
522,Bereket,58,TM,1667533154,72,39.2446,55.5154,54.32,6.15
523,Vernon,100,CA,1667533155,86,50.2581,-119.2691,34.61,2.3
524,Lebedinyy,100,RU,1667533155,93,58.5167,125.5167,13.35,15.35
525,Fochabers,0,GB,1667533156,81,57.6136,-3.0957,42.89,10.36
526,Kalawit,89,PH,1667533156,73,8.0667,122.5167,85.87,2.82
527,Mayo,0,US,1667533157,93,38.8876,-76.5119,59.13,3.44
528,Sandwick,75,GB,1667533158,76,60,-1.25,49.82,16.11
529,Huai Yot,89,TH,1667533158,76,7.7893,99.6348,82.02,4.16
530,Vestmanna,100,FO,1667533159,87,62.1564,-7.1664,45.52,23.02
531,Waingapu,100,ID,1667533159,58,-9.6567,120.2641,88.36,9.86
532,Omīdīyeh,0,IR,1667533160,63,30.7597,49.705,62.47,0
533,Amapá,100,BR,1667533161,100,1,-52,70.47,1.41
534,Abonnema,50,NG,1667533161,90,4.7084,6.7931,75.7,4.25
535,Avera,0,US,1667533162,71,33.194,-82.5271,58.51,5.93
536,Kumluca,0,TR,1667533162,40,36.3703,30.2869,66.87,4.25
537,Makakilo City,0,US,1667533163,69,21.3469,-158.0858,80.92,10.36
538,Coahuayana Viejo,6,MX,1667533066,93,18.7333,-103.6833,75.34,3.02
539,San Miguel de Cozumel,40,MX,1667533081,97,20.5083,-86.9458,79.07,4.61
540,Kamisu,100,JP,1667533164,73,35.8907,140.6686,67.24,19.46
541,Lichinga,20,MZ,1667533165,68,-13.3128,35.2406,64.49,11.5
542,Farafangana,27,MG,1667533165,77,-22.8167,47.8333,74.19,8.86
543,Manono,80,CD,1667533166,97,-7.3,27.4167,66.78,1.57
544,Katherine,43,AU,1667533166,31,-14.4667,132.2667,89.92,11.5
545,Banda Aceh,100,ID,1667533167,93,5.5577,95.3222,75.51,2.44
546,Ixtapa,0,MX,1667533167,83,20.7,-105.2,74.43,3.44
547,Suntar,58,RU,1667533168,81,62.1444,117.6319,11.97,8.32
548,Riacho de Santana,100,BR,1667533168,95,-13.6092,-42.9389,64.11,6.82
549,Ariquemes,7,BR,1667533169,60,-9.9133,-63.0408,64.99,3.44
550,Xam Nua,44,LA,1667533170,45,20.4197,104.0439,74.17,4.36
551,Burgos,100,ES,1667533171,100,42.3394,-3.7079,41.41,6.91
552,Almeria,34,ES,1667533171,63,37.1667,-2.3333,59.16,6.2
553,Bambanglipuro,98,ID,1667533117,77,-7.95,110.2833,83.05,11.41
554,Hay River,75,CA,1667533172,86,60.8156,-115.7999,15.78,8.05
555,Soyo,100,AO,1667533173,88,-6.1349,12.3689,76.82,1.52
556,Elizabeth City,0,US,1667533173,96,36.2946,-76.2511,64.42,4.61
557,Nome,75,US,1667533174,68,64.5011,-165.4064,21.27,6.91
558,Oistins,40,BB,1667533175,83,13.0667,-59.5333,78.89,8.05
559,Flinders,69,AU,1667533175,64,-34.5833,150.8552,69.19,7
560,Nynäshamn,64,SE,1667533175,84,58.9034,17.9479,48.11,15.68
561,Touros,18,BR,1667532930,82,-5.1989,-35.4608,77.07,9.19
562,La Rioja,42,ES,1667533176,81,42.25,-2.5,38.98,6.06
563,Barra de Tecoanapa,22,MX,1667533177,83,16.5167,-98.75,79.36,6.29
564,Rājgīr,0,IN,1667533177,42,25.0333,85.4167,79.66,0.76
565,Alice Springs,0,AU,1667533178,14,-23.7,133.8833,78.35,13.8
566,Aketi,100,CD,1667533178,98,2.7388,23.7833,69.4,0.16
567,Puerto Ayacucho,95,VE,1667533178,89,5.6639,-67.6236,71.35,4.27
568,Bandarbeyla,60,SO,1667533179,73,9.4942,50.8122,78.67,1.86
569,Bloomington,100,US,1667533022,78,44.8408,-93.2983,63.25,13.8
